,primary_isbn10,title,author,publisher,weeks_on_list
0,1594634025,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,102
1,1501173219,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,81
2,525431888,FIFTY SHADES DARKER,E L James,Vintage,66
3,1466850604,THE NIGHTINGALE,Kristin Hannah,St. Martin's,63
4,1440697663,THE HELP,Kathryn Stockett,Penguin Group,58
5,1476738025,A MAN CALLED OVE,Fredrik Backman,Washington Square,56
6,144947425X,MILK AND HONEY,Rupi Kaur,Andrews McMeel,52
7,553897845,A GAME OF THRONES,George R R Martin,Bantam,51
8,425274861,BIG LITTLE LIES,Liane Moriarty,Berkley,38
9,425284697,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,35
10,1501132954,THE WOMAN IN CABIN 10,Ruth Ware,Scout,35
11,735224307,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,31
12,307272117,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday Publishing,31
13,038549081X,THE HANDMAID'S TALE,Margaret Atwood,Houghton Mifflin Harcourt,27
14,1101967684,THE WHISTLER,John Grisham,Doubleday,25
15,1455520667,THE LONGEST RIDE,Nicholas Sparks,Grand Central,25
16,307887448,READY PLAYER ONE,Ernest Cline,Broadway,24
17,1524797154,CAMINO ISLAND,John Grisham,Doubleday,23
18,440335167,OUTLANDER,Diana Gabaldon,Dell,21
19,None,BARED TO YOU,Sylvia Day,Penguin Group,21
20,1449486797,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,20
21,385514239,ORIGIN,Dan Brown,Doubleday,20
22,1101883081,LILAC GIRLS,Martha Hall Kelly,Ballantine,20
23,1501120603,11/22/63,Stephen King,Scribner,19
24,345803574,FIFTY SHADES TRILOGY,E L James,Vintage,19
25,765388111,A DOG'S PURPOSE,W Bruce Cameron,Forge Books,18
26,None,THE MARRIAGE BARGAIN,Jennifer Probst,Entangled Publishing,17
27,125016561X,THE GREAT ALONE,Kristin Hannah,St. Martin's,16
28,385542364,THE UNDERGROUND RAILROAD,Colson Whitehead,Doubleday,16
29,034554496X,SMALL GREAT THINGS,Jodi Picoult,Ballantine,16
30,1455520691,TWO BY TWO,Nicholas Sparks,Grand Central,16
31,62409875,GO SET A WATCHMAN,Harper Lee,Harper,16
32,62678418,THE WOMAN IN THE WINDOW,AJ Finn,Morrow,15
33,1501175467,IT,Stephen King,Scribner,15
34,1455520608,SEE ME,Nicholas Sparks,Grand Central,15
35,446573043,THE FORGOTTEN,David Baldacci,Grand Central,15
36,399593500,THE MIDNIGHT LINE,Lee Child,Delacorte,14
37,385541171,THE ROOSTER BAR,John Grisham,Doubleday,14
38,145558648X,THE LAST MILE,David Baldacci,Grand Central,14
39,735211221,INTO THE WATER,Paula Hawkins,Riverhead,13
40,964729237,THE SHACK,William P Young,Windblown Media,13
41,142996023X,THE SILVER LININGS PLAYBOOK,Matthew Quick,"Sarah Crichton/Farrar, Straus & Giroux",13
42,345527593,DEFENDING JACOB,William Landay,Delacorte Press,13
43,1455586587,THE FIX,David Baldacci,Grand Central,12
44,1455521167,THE ESCAPE,David Baldacci,Grand Central,12
45,None,THE MILL RIVER RECLUSE,Darcie Chan,Darcie Chan,12
46,547416113,LIFE OF PI,Yann Martel,Houghton Mifflin Harcourt,12
47,804178828,NIGHT SCHOOL,Lee Child,Delacorte,11
48,110198760X,THE OBSESSION,Nora Roberts,Berkley,11
49,62414216,THE NEST,Cynthia D'Aprix Sweeney,Ecco/HarperCollins,11
50,1455586501,NO MAN'S LAND,David Baldacci,Grand Central,10
51,031640716X,CROSS THE LINE,James Patterson,"Little, Brown",10
52,1455586439,THE GUILTY,David Baldacci,Grand Central,10
53,1101989750,THE LIAR,Nora Roberts,Putnam,10
54,385354290,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,Knopf,10
55,None,KILL ALEX CROSS,James Patterson,"Little, Brown & Company",10
56,440245117,THE CONFESSION,John Grisham,Knopf Doubleday,10
57,385543980,DARKER,EL James,Vintage,9
58,052595497X,A COLUMN OF FIRE,Ken Follett,Viking,9
59,1250069815,TRULY MADLY GUILTY,Liane Moriarty,Flatiron,9
60,446401315,THE CHOICE,Nicholas Sparks,Grand Central,9
61,804178755,PERSONAL,Lee Child,Delacorte,9
62,None,HOPE TO DIE,James Patterson,"Little, Brown",9
63,None,THE BEST OF ME,Nicholas Sparks,Grand Central,9
64,145552123X,THE TARGET,David Baldacci,Grand Central,9
65,1455521280,THE HIT,David Baldacci,Grand Central,9
66,None,ON THE ISLAND,Tracey Garvis-Graves,Tracey Garvis-Graves,9
67,031612723X,NOW YOU SEE HER,James Patterson and Michael Ledwidge,"Little, Brown",9
68,125013093X,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,8
69,1616207604,AN AMERICAN MARRIAGE,Tayari Jones,Algonquin,8
70,1455586633,END GAME,David Baldacci,Grand Central,8
71,345543017,TURBO TWENTY-THREE,Janet Evanovich,Bantam,8
72,812998618,THE GIRLS,Emma Cline,Random House,8
73,1250072689,THE REVENANT,Michael Punke,Picador,8
74,1501111671,THE BAZAAR OF BAD DREAMS,Stephen King,Scribner,8
75,None,WHISKEY BEACH,Nora Roberts,Putnam,8
76,440246326,NEVER GO BACK,Lee Child,Delacorte,8
77,307351939,WORLD WAR Z,Max Brooks,Broadway,8
78,316210692,"MERRY CHRISTMAS, ALEX CROSS",James Patterson,"Little, Brown & Company",8
79,345527704,SMOKINâ SEVENTEEN,Janet Evanovich,Random House Publishing,8
80,446573078,THE SIXTH MAN,David Baldacci,Grand Central,8
81,316069388,THE FIFTH WITNESS,Michael Connelly,"Little, Brown",8
82,316225916,TWO KINDS OF TRUTH,Michael Connelly,"Little, Brown",7
83,451494334,THE GIRL WHO TAKES AN EYE FOR AN EYE,David Lagercrantz,Knopf,7
84,316225975,THE LATE SHOW,Michael Connelly,"Little, Brown",7
85,316225959,THE WRONG SIDE OF GOODBYE,Michael Connelly,"Little, Brown",7
86,None,THE DROP,Michael Connelly,"Little, Brown",7
87,316407143,CROSS JUSTICE,James Patterson,"Little, Brown",7
88,1476770387,REVIVAL,Stephen King,Scribner,7
89,,INVISIBLE,James Patterson and David Ellis,"Little, Brown",7
90,1476754462,MR. MERCEDES,Stephen King,Scribner,7
91,316211281,UNLUCKY 13,James Patterson and Maxine Paetro,"Little, Brown",7
92,316210927,CROSS MY HEART,James Patterson,"Little, Brown",7
93,None,KING AND MAXWELL,David Baldacci,Grand Central,7
94,989078310,THE BET,Rachel Van Dyken,Rachel Van Dyken,7
95,None,A WEEK IN WINTER,Maeve Binchy,Knopf Doubleday Publishing,7
96,None,HOPELESS,Colleen Hoover,Colleen Hoover,7
97,None,KILL SHOT,Vince Flynn,Atria Books,7
98,316097551,KILL ME IF YOU CAN,James Patterson and Marshall Karp,"Little, Brown & Company",7
99,1538761378,THE FALLEN,David Baldacci,Grand Central,6
100,1101988843,GOLDEN PREY,John Sandford,Putnam,6
101,,RED SPARROW,Jason Matthews,Scribner,6
102,031655345X,16TH SEDUCTION,James Patterson and Maxine Paetro,"Little, Brown",6
103,399593594,NO MIDDLE NAME,Lee Child,Delacorte,6
104,None,THE PEOPLE VS. ALEX CROSS,James Patterson,"Little, Brown",6
105,553448129,ARTEMIS,Andy Weir,Crown,6
106,399179194,HARDCORE TWENTY-FOUR,Janet Evanovich,Putnam,6
107,1501101749,THE CUBAN AFFAIR,Nelson DeMille,Simon & Schuster,6
108,316375209,THE IDENTICALS,Elin Hilderbrand,"Little, Brown",6
109,316464147,THE BLACK BOOK,James Patterson and David Ellis,"Little, Brown",6
110,039360909X,NORSE MYTHOLOGY,Neil Gaiman,Norton,6
111,62416219,THE ALCHEMIST,Paulo Coelho,HarperCollins,6
112,1459295366,UNFINISHED BUSINESS,Nora Roberts,Harlequin,6
113,698411447,HOME,Harlan Coben,Dutton,6
114,1501129740,END OF WATCH,Stephen King,Scribner,6
115,698404173,FOOL ME ONCE,Harlan Coben,Dutton,6
116,1476783470,THE SURVIVOR,Vince Flynn and Kyle Mills,Emily Bestler/Atria,6
117,1476717176,CODE OF CONDUCT,Brad Thor,Emily Bestler/Atria,6
118,,THE HEIST,Daniel Silva,Harper,6
119,,THE SILKWORM,Robert Galbraith,"Mulholland/Little, Brown",6
120,316211249,NYPD RED 2,James Patterson and Marshall Karp,"Little, Brown",6
121,698148630,MISSING YOU,Harlan Coben,Dutton,6
122,440246318,A WANTED MAN,Lee Child,Dell,6
123,316128651,THE HOST,Stephenie Meyer,"Little, Brown & Company",6
124,141659521X,THE LAST MAN,Vince Flynn,Simon & Schuster,6
125,316206814,PRIVATE GAMES,James Patterson and Mark Sullivan,"Little, Brown & Company",6
126,399157867,V IS FOR VENGEANCE,Sue Grafton,Penguin Group,6
127,None,DEAD RECKONING,Charlaine Harris,Penguin Group,6
128,1439102724,SING YOU HOME,Jodi Picoult,Simon & Schuster,6
129,073521736X,TWISTED PREY,John Sandford,Putnam,5
130,1101883960,THE RIGHT TIME,Danielle Steel,Delacorte,5
131,399562478,STILL ME,Jojo Moyes,Pamela Dorman/Viking,5
132,150116340X,SLEEPING BEAUTIES,Stephen King and Owen King,Scribner,5
133,316553476,MURDER GAMES,James Patterson and Howard Roughan,"Little, Brown",5
134,1250123100,COME SUNDOWN,Nora Roberts,St. Martin's,5
135,1455585300,BULLSEYE,James Patterson and Michael Ledwidge,"Little, Brown",5
136,316433179,NEVER NEVER,James Patterson and Candice Fox,"Little, Brown",5
137,425285421,THE APARTMENT,Danielle Steel,Delacorte,5
138,None,EXTREME PREY,John Sandford,Putnam,5
139,812989074,MY NAME IS LUCY BARTON,Elizabeth Strout,Random House,5
140,006242906X,PRETTY GIRLS,Karin Slaughter,Morrow/HarperCollins,5
141,62294415,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,Harper/HarperCollins,5
142,110161434X,X,Sue Grafton,Marian Wood/Putnam,5
143,None,FLESH AND BLOOD,Patricia Cornwell,Morrow/HarperCollins,5
144,345535111,THE INN AT ROSE HARBOR,Debbie Macomber,Random House Publishing,5
145,,DEADLINE,John Sandford,Putnam,5
146,None,MEAN STREAK,Sandra Brown,Grand Central,5
147,None,DON'T SAY A WORD,Barbara Freethy,Barbara Freethy,5
148,None,LITTLE GIRL LOST,Brian McGilloway,Witness Impulse/HarperCollins,5
149,316211117,PRIVATE L.A.,James Patterson and Mark Sullivan,"Little, Brown",5
150,,THE ROSIE PROJECT,Graeme Simsion,Simon & Schuster,5
151,316211060,MISTRESS,James Patterson and David Ellis,"Little, Brown",5
152,316069442,THE BLACK BOX,Michael Connelly,"Little, Brown",5
153,316199893,NYPD RED,James Patterson and Marshall Karp,"Little, Brown & Company",5
154,None,SLAMMED,Colleen Hoover,Colleen Hoover,5
155,446571857,ABRAHAM LINCOLN: VAMPIRE HUNTER,Seth Grahame-Smith,Grand Central Publishing,5
156,,STOLEN PREY,John Sandford,Penguin Group,5
157,None,RED MIST,Patricia Cornwell,Penguin Group,5
158,None,BLIND FAITH,CJ Lyons,Legacy,5
159,1439180962,IâLL WALK ALONE,Mary Higgins Clark,Simon & Schuster,5
160,517580519,THE LAND OF PAINTED CAVES,Jean M Auel,Crown,5
161,553908111,LOVE YOU MORE,Lisa Gardner,Random House,5
162,316274046,THE 17TH SUSPECT,James Patterson and Maxine Paetro,"Little, Brown",4
163,1501171690,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,Simon & Schuster,4
164,316395587,RED ALERT,James Patterson and Marshall Karp,"Little, Brown",4
165,1501131125,"ALL BY MYSELF, ALONE",Mary Higgins Clark,Simon & Schuster,4
166,1455559512,THE ESCAPE ARTIST,Brad Meltzer,Grand Central,4
167,None,YEAR ONE,Nora Roberts,St. Martin's,4
168,735215898,TOM CLANCY POWER AND EMPIRE,Marc Cameron,Putnam,4
169,698407113,DEEP FREEZE,John Sandford,Putnam,4
170,1455572071,SEEING RED,Sandra Brown,Grand Central,4
171,698411668,DON'T LET GO,Harlan Coben,Dutton,4
172,1476783543,ENEMY OF THE STATE,Kyle Mills,Atria/Emily Bestler,4
173,399163859,Y IS FOR YESTERDAY,Sue Grafton,Marian Wood/Putnam,4
174,None,THE GUNSLINGER,Stephen King,Pocket Books,4
175,62354361,HOUSE OF SPIES,Daniel Silva,Harper,4
176,1250123135,ECHOES IN DEATH,J D Robb,St. Martin's,4
177,1476789401,USE OF FORCE,Brad Thor,Atria/Emily Bestler,4
178,62473352,DRAGON TEETH,Michael Crichton,Harper,4
179,None,AMERICAN GODS,Neil Gaiman,Morrow,4
180,698411439,RIGHT BEHIND YOU,Lisa Gardner,Dutton,4
181,None,ESCAPE CLAUSE,John Sandford,Putnam,4
182,031629019X,THE GAMES,James Patterson and Mark Sullivan,"Little, Brown",4
183,1466872926,THE WEEKENDERS,Mary Kay Andrews,St. Martin's,4
184,1250109310,ONE WITH YOU,Sylvia Day,St. Martin's Griffin,4
185,316408999,PRIVATE PARIS,James Patterson and Mark Sullivan,"Little, Brown",4
186,425280101,STARS OF FORTUNE,Nora Roberts,Berkley,4
187,316349925,CAREER OF EVIL,Robert Galbraith,"Mulholland/Little, Brown",4
188,1455581178,FRICTION,Sandra Brown,Grand Central,4
189,316407186,ALERT,James Patterson and Michael Ledwidge,"Little, Brown",4
190,345534190,CIRCLING THE SUN,Paula McLain,Ballantine,4
191,034552778X,WICKED BUSINESS,Janet Evanovich,Random House Publishing,4
192,399173358,TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,Putnam,4
193,1942215037,STEPBROTHER DEAREST,Penelope Ward,Penelope Ward,4
194,399167447,SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,Putnam,4
195,145552977X,PRIVATE DOWN UNDER,James Patterson and Michael White,Grand Central,4
196,698163478,THE BOOK OF LIFE,Deborah Harkness,Viking,4
197,345548418,KILLER,Jonathan Kellerman,Ballantine,4
198,031621101X,GONE,James Patterson and Michael Ledwidge,"Little, Brown",4
199,1569479828,THE BOY IN THE SUITCASE,Lene Kaaberbol,Soho Press,4
200,985547324,DAMAGED,H M Ward,Laree Bailey,4
201,None,THE WANDERER,Ron Carr,Harlequin Mira,4
202,None,FALLING INTO YOU,Jasinda Wilder,Jasinda Wilder,4
203,None,THE EDGE OF NEVER,JA Redmerski,Grand Central Publishing,4
204,,RUSH,Maya Banks,Penguin Group,4
205,1624300006,SOMEONE TO LOVE,Addison Moore,Addison Moore,4
206,None,THE SECRET OF ELLA AND MICHA,Jessica Sorensen,Jessica Sorensen,4
207,None,DEADLOCKED,Charlaine Harris,Penguin Group,4
208,None,STAY CLOSE,Harlan Coben,Penguin Group,4
209,None,THE SWEETEST THING,Barbara Freethy,Barbara Freethy,4
210,440334861,CAN YOU KEEP A SECRET?,Sophie Kinsella,Random House Publishing,4
211,778312518,1105 YAKIMA STREET,Debbie Macomber,Mira,4
212,61758221,UNTIL PROVEN GUILTY,J A Jance,HarperCollins,4
213,1416586768,FULL BLACK,Brad Thor,Simon & Schuster,4
214,316097373,TOYS,James Patterson and Neil McMahon,"Little, Brown",4
215,553901133,ALONE,Lisa Gardner,Random House,4
216,None,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Penguin Group,4
217,525505318,THE COUPLE NEXT DOOR,Shari Lapena,Penguin,3
218,1250126096,THE HIGH TIDE CLUB,Mary Kay Andrews,St. Martin's,3
219,1250099676,AFTER ANNA,Lisa Scottoline,St. Martin's,3
220,316513229,FIFTY FIFTY,James Patterson and Candice Fox,"Little, Brown",3
221,1524742066,LOOK FOR ME,Lisa Gardner,Dutton,3
222,125016155X,DARK IN DEATH,JD Robb,St. Martin's,3
223,076532637X,OATHBRINGER,Brandon Sanderson,Tor,3
224,525435921,THE SNOWMAN,Jo Nesbo,Vintage,3
225,1476716757,MANHATTAN BEACH,Jennifer Egan,Scribner,3
226,031627397X,HAUNTED,James Patterson and James O Born,"Little, Brown",3
227,735225117,A LEGACY OF SPIES,John le CarrÃ©,Viking,3
228,None,SECRETS IN DEATH,JD Robb,St. Martin's,3
229,316395455,THE STORE,James Patterson and Richard DiLallo,"Little, Brown",3
230,1501156004,THE LYING GAME,Ruth Ware,Scout,3
231,399184015,NIGHTHAWK,Clive Cussler and Graham Brown,Putnam,3
232,553392697,CURIOUS MINDS,Janet Evanovich and Phoef Sutton,Bantam,3
233,62311158,MISSISSIPPI BLOOD,Greg Iles,Morrow/HarperCollins,3
234,1420136070,EXPECTING TO DIE,Lisa Jackson,Zebra,3
235,1501115073,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,Fredrik Backman,Washington Square,3
236,425285057,THE GIRL BEFORE,J P Delaney,Ballantine,3
237,345531116,THE MISTRESS,Danielle Steel,Delacorte,3
238,425280128,ISLAND OF GLASS,Nora Roberts,Berkley,3
239,1455568139,MISSING,James Patterson and Kathryn Fox,Grand Central,3
240,None,THE TRESPASSER,Tana French,Viking,3
241,031627402X,WOMAN OF GOD,James Patterson and Maxine Paetro,"Little, Brown",3
242,1501150316,INSIDIOUS,Catherine Coulter,Gallery Books,3
243,1101885572,MAGIC,Danielle Steel,Delacorte,3
244,042528011X,BAY OF SIGHS,Nora Roberts,Berkley,3
245,1942215398,STUCK-UP SUIT,Vi Keeland and Penelope Ward,EverAfter Romance,3
246,None,OFF THE GRID,C J Box,Putnam,3
247,698406427,THE GANGSTER,Clive Cussler and Justin Scott,Putnam,3
248,345545966,ASHLEY BELL,Dean Koontz,Bantam,3
249,1451617836,WHO DO YOU LOVE,Jennifer Weiner,Atria,3
250,None,NEMESIS,Catherine Coulter,Putnam,3
251,None,SKIN GAME,Jim Butcher,Roc,3
252,,THE CHASE,Janet Evanovich and Lee Goldberg,Bantam,3
253,None,THE EX GAMES,J S Cooper and Helen Cooper,Helen Cooper,3
254,61957658,LABOR DAY,Joyce Maynard,HarperCollins,3
255,62107313,THE VALLEY OF AMAZEMENT,Amy Tan,Ecco/HarperCollins,3
256,None,PULSE,Gail McHugh,Gail McHugh,3
257,None,BOMBSHELL,Catherine Coulter,Putnam,3
258,1781162646,JOYLAND,Stephen King,Hard Case Crime,3
259,None,WOOL OMNIBUS EDITION,Hugh Howey,Broad Reach Publishing,3
260,1429997176,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson,Tor/Tom Doherty Associates,3
261,1476711100,THE STRANGER,Kyra Davis,Simon & Schuster,3
262,None,THREE SISTERS,Susan Mallery,Harlequin,3
263,1455546348,MIRROR IMAGE,Sandra Brown,Grand Central Publishing,3
264,None,FALLEN TOO FAR,Abbi Glines,Abbi Glines,3
265,None,CALCULATED IN DEATH,J D Robb,Penguin Group,3
266,985671955,WAIT FOR ME,Elisabeth Naughton,Elisabeth Naughton,3
267,None,THE FIFTH ASSASSIN,Brad Meltzer,Grand Central Publishing,3
268,None,MAD RIVER,John Sandford,Penguin Group,3
269,,SHADOW OF NIGHT,Deborah Harkness,Penguin Group,3
270,None,CELEBRITY IN DEATH,J D Robb,Penguin Group,3
271,,CATCH ME,Lisa Gardner,Penguin Group,3
272,None,SUICIDE RUN,Michael Connelly,"Little, Brown & Company",3
273,None,STRATEGIC MOVES,Stuart Woods,Penguin Group,3
274,1101884037,THE CAST,Danielle Steel,Delacorte,2
275,62390821,BY INVITATION ONLY,Dorothea Benton Frank,Morrow,2
276,1420136135,ONE LAST BREATH,Lisa Jackson and Nancy Bush,Zebra,2
277,073521722X,SHOOT FIRST,Stuart Woods,Putnam,2
278,399176624,THE DISAPPEARED,CJ Box,Putnam,2
279,1101884096,ACCIDENTAL HEROES,Danielle Steel,Delacorte,2
280,735215537,THE RISING SEA,Clive Cussler and Graham Brown,Putnam,2
281,345541472,NIGHT MOVES,Jonathan Kellerman,Ballantine,2
282,1101884002,FALL FROM GRACE,Danielle Steel,Delacorte,2
283,451488512,JUDGMENT ROAD,Christine Feehan,Berkley,2
284,145553692X,CITY OF ENDLESS NIGHT,Douglas Preston and Lincoln Child,Grand Central,2
285,62430262,THE GOOD DAUGHTER,Karin Slaughter,Morrow,2
286,345546784,THE SILENT CORNER,Dean Koontz,Bantam,2
287,039957557X,TYPHOON FURY,Clive Cussler and Boyd Morrison,Putnam,2
288,150117164X,EVERY BREATH YOU TAKE,Mary Higgins Clark and Alafair Burke,Simon & Schuster,2
289,399583971,LEOPARD'S BLOOD,Christine Feehan,Berkley,2
290,1101946156,UNCOMMON TYPE,Tom Hanks,Knopf,2
291,1101884061,FAIRYTALE,Danielle Steel,Delacorte,2
292,1250066190,GLASS HOUSES,Louise Penny,Minotaur,2
293,345531086,THE DUCHESS,Danielle Steel,Delacorte,2
294,735215863,TOM CLANCY: POINT OF CONTACT,Mike Maden,Putnam,2
295,62390783,"SAME BEACH, NEXT YEAR",Dorothea Benton Frank,Morrow,2
296,110188391X,AGAINST ALL ODDS,Danielle Steel,Delacorte,2
297,1250099587,ONE PERFECT LIE,Lisa Scottoline,St. Martin's,2
298,037378970X,FOREVER A HERO,Linda Lael Miller,HQN,2
299,399176616,VICIOUS CIRCLE,C J Box,Putnam,2
300,110188388X,DANGEROUS GAMES,Danielle Steel,Delacorte,2
301,345541448,HEARTBREAK HOTEL,Jonathan Kellerman,Ballantine,2
302,812995341,LINCOLN IN THE BARDO,George Saunders,Random House,2
303,None,BELOW THE BELT,Stuart Woods,Putnam,2
304,1250121019,BEHIND CLOSED DOORS,B A Paris,St. Martinâs,2
305,None,ANTI-STEPBROTHER,Tijan,Tijan,2
306,345543866,DIE AGAIN,Tess Gerritsen,Ballantine,2
307,399176802,TOM CLANCY: DUTY AND HONOR,Grant Blackwood,Putnam,2
308,316317128,ZOO 2,James Patterson with Max DiLallo,"Little, Brown",2
309,804177643,THE CITY OF MIRRORS,Justin Cronin,Ballantine,2
310,None,MISTER O,Lauren Blakely,Lauren Blakely,2
311,307270645,EVERYBODY'S FOOL,Richard Russo,Knopf,2
312,1466862610,THE 14TH COLONY,Steve Berry,Minotaur,2
313,385531397,THE THIRD GATE,Lincoln Child,Anchor,2
314,1455536369,THE STEEL KISS,Jeffery Deaver,Grand Central,2
315,1466842040,KEEP QUIET,Lisa Scottoline,St. Martin's,2
316,1942215363,ROOMHATE,Penelope Ward,Penelope Ward,2
317,None,COLD BETRAYAL,J A Jance,Touchstone,2
318,1101965495,THE FORCE AWAKENS,Alan Dean Foster,Lucasbooks,2
319,1460330196,THE GOOD GIRL,Mary Kubica,Mira,2
320,1501108557,ALL DRESSED IN WHITE,Mary Higgins Clark and Alafair Burke,Simon & Schuster,2
321,1455525936,CRIMSON SHORE,Douglas Preston and Lincoln Child,Grand Central,2
322,None,DEVOTED IN DEATH,J D Robb,Putnam,2
323,None,HOLLYWOOD DIRT,Alessandra Torre,EverAfter Romance,2
324,034551162X,STAR WARS: AFTERMATH,Chuck Wendig,Del Rey,2
325,374239215,PURITY,Jonathan Franzen,"Farrar, Straus & Giroux",2
326,1460382072,A NEW HOPE,Ron Carr,Mira,2
327,None,TOM CLANCY UNDER FIRE,Grant Blackwood,Putnam,2
328,None,BEAUTIFUL SACRIFICE,Jamie McGuire,CreateSpace,2
329,,HOT PURSUIT,Stuart Woods,Putnam,2
330,698161440,OBSESSION IN DEATH,J D Robb,Putnam,2
331,None,THE PACT,Karina Halle,Metal Blonde,2
332,None,HIS SECRETARY,Melanie Marchande,Melanie Marchande,2
333,307962520,PRINCE LESTAT,Anne Rice,Knopf,2
334,,HAVANA STORM,Clive Cussler,Putnam,2
335,385352107,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,Haruki Murakami,Knopf,2
336,62316877,THE GIRL WHO CAME HOME,Hazel Gaynor,Morrow/HarperCollins,2
337,,BE CAREFUL WHAT YOU WISH FOR,Jeffrey Archer,St. Martin's,2
338,,WORDS OF RADIANCE,Brandon Sanderson,Tor/Tom Doherty,2
339,,THE WHOLE ENCHILADA,Diane Mott Davidson,Morrow/HarperCollins,2
340,,BEST KEPT SECRET,Jeffrey Archer,St. Martin's,2
341,1455525855,WHITE FIRE,Douglas Preston and Lincoln Child,Grand Central,2
342,None,TREASURE YOUR LOVE,JC Reed,J.C. Reed,2
343,1460317971,THE HERO,Ron Carr,Harlequin Mira,2
344,None,BURN,Maya Banks,Berkley,2
345,None,JANE'S MELODY,Ryan Winfield,Birch Paper Press,2
346,None,FIRST SIGHT,Danielle Steel,Delacorte,2
347,1460315065,THE NEWCOMER,Ron Carr,Harlequin Mira,2
348,988301334,FOREVER TOO FAR,Abbi Glines,Abbi Glines,2
349,1628470356,BEAUTY FROM SURRENDER,Georgia Cates,Georgia Cates,2
350,988301326,TWISTED PERFECTION,Abbi Glines,Abbi Glines,2
351,1439112827,BONES ARE FOREVER,Kathy Reichs,Scribner,2
352,,UNINTENDED CONSEQUENCES,Stuart Woods,Putnam,2
353,None,FEVER,Maya Banks,Penguin Group,2
354,1476712999,WALKING DISASTER,Jamie McGuire,Simon & Schuster,2
355,None,LOVER AT LAST,J R Ward,Penguin Group,2
356,None,IF YOU STAY,Courtney Cole,Courtney Cole,2
357,345538811,GUILT,Jonathan Kellerman,Random House Publishing,2
358,034553865X,UNTIL THE END OF TIME,Danielle Steel,Random House Publishing,2
359,None,THE DEVIL COLONY,James Rollins,HarperCollins,2
360,None,ALL IN,Raine Miller,Raine Miller,2
361,None,DARK STORM,Christine Feehan,Berkley Books,2
362,446576468,SIMPLY IRRESISTIBLE,Jill Shalvis,Grand Central Publishing,2
363,None,SEDUCING CINDERELLA,Gina L Maxwell,Entangled Publishing,2
364,1451658907,THE WIND THROUGH THE KEYHOLE,Stephen King,Scribner,2
365,679644687,I'VE GOT YOUR NUMBER,Sophie Kinsella,Random House Publishing,2
366,312364431,NIGHT ROAD,Kristin Hannah,St. Martinâs Press,2
367,684867311,ONE FOR THE MONEY,Janet Evanovich,Simon & Schuster,2
368,,A KILLING TIDE,P J Alderman,P. J. Alderman,2
369,446554987,COLD VENGEANCE,Douglas Preston and Lincoln Child,Grand Central,2
370,045146379X,GHOST STORY,Jim Butcher,Penguin Group,2
371,None,SPLIT SECOND,Catherine Coulter,Penguin Group,2
372,None,BEFORE I GO TO SLEEP,S J Watson,HarperCollins,2
373,345526600,THE SILENT GIRL,Tess Gerritsen,Random House,2
374,316175579,SILVER GIRL,Elin Hilderbrand,"Little, Brown",2
375,385343140,44 CHARLES STREET,Danielle Steel,Random House,2
376,373775555,A CREED IN STONE CREEK,Linda Lael Miller,Harlequin,2
377,778329313,WILD MAN CREEK,Ron Carr,Harlequin,2
378,1501180983,THE OUTSIDER,Stephen King,Scribner,1
379,1501193317,BEACH HOUSE REUNION,Mary Alice Monroe,Gallery,1
380,1942215800,REBEL HEART,Penelope Ward and Vi Keeland,C. Scott Publishing,1
381,1943796106,ROGUE ROYALTY,Meghan March,Red Dress Press,1
382,1538714450,PRINCESS,James Patterson and Rees Jones,Grand Central,1
383,525483446,THE CROOKED STAIRCASE,Dean Koontz,Bantam,1
384,399585338,THE OTHER LADY VANISHES,Amanda Quick,Berkley,1
385,525521194,WARLIGHT,Michael Ondaatje,Knopf,1
386,None,RESCUING WENDY,Susan Stoker,Susan Stoker,1
387,399586091,SOMEONE TO CARE,Mary Balogh,Berkley,1
388,1101991437,DARK QUEEN,Faith Hunter,Ace,1
389,62696815,THE PERFECT MOTHER,Aimee Molloy,Harper,1
390,698413075,ROBERT B. PARKER'S OLD BLACK MAGIC,Ace Atkins,Putnam,1
391,440339340,WORTH DYING FOR,Lee Child,Delacorte,1
392,1466887249,SHATTERED MIRROR,Iris Johansen,St. Martin's,1
393,1943796084,IRON PRINCESS,Meghan March,Red Dress Press,1
394,1945253436,WILD IN LOVE,Bella Andre and Jennifer Skully,Oak Press,1
