,isbn,title,original_title,authors,original_publication_year,average_rating
1950,,"The Evolution of Mara Dyer (Mara Dyer, #2)",The Evolution of Mara Dyer,Michelle Hodkin,2012.0,4.33
1980,,"Naked (The Blackstone Affair, #1)",Naked,Raine Miller,2010.0,4.02
1982,,"Breathe (Sea Breeze, #1)",Breathe,Abbi Glines,2011.0,3.88
1993,,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)","Forever Too Far (Too Far, #3)",Abbi Glines,2013.0,4.24
2026,,If on a Winter's Night a Traveler,Se una notte d'inverno un viaggiatore,"Italo Calvino, William Weaver",1979.0,4.08
2032,,عزازيل,عزازيل,يوسف زيدان,2008.0,4.07
2039,,"Losing Hope (Hopeless, #2)",Losing Hope,Colleen Hoover,2013.0,4.39
2081,,The Qur'an / القرآن الكريم,القرآن‎‎ [al-Qurʾān],Anonymous,609.0,4.34
2099,,Batman: The Dark Knight Returns #1,The Dark Knight Returns,Frank Miller,1986.0,4.21
2105,,"This Man Confessed (This Man, #3)",This Man Confessed,Jodi Ellen Malpas,2013.0,4.43
2150,,Saga #1,Saga #1,"Brian K. Vaughan, Fiona Staples",2012.0,4.15
2177,,"The Deal (Off-Campus, #1)",The Deal,Elle Kennedy,2015.0,4.3
2184,,"Bully (Fall Away, #1)",Bully,Penelope Douglas,2013.0,4.15
2190,,Faeries,Faeries,"Brian Froud, Alan Lee",1978.0,3.89
2204,,Sapiens: A Brief History of Humankind,קיצור תולדות האנושות‎‎,Yuval Noah Harari,2011.0,4.41
2207,,"Down to You (The Bad Boys, #1)",Down to You,M. Leighton,2013.0,4.05
2227,,Solaris,Solaris,Stanisław Lem,1961.0,3.97
2242,,The Good Neighbor,,A.J. Banner,2015.0,3.33
2272,,The Butterfly Garden (The Collector #1),The Butterfly Garden,Dot Hutchison,2016.0,4.07
2275,,"In Flight (Up in the Air, #1)",In Flight,R.K. Lilley,2012.0,4.1
2312,,"The Magician's Land (The Magicians, #3)",The Magician's Land,Lev Grossman,2014.0,4.16
2329,,"Mile High (Up in the Air, #2)",Mile high (Up In The Air #2),R.K. Lilley,2012.0,4.21
2331,,"Everything We Keep (Everything We Keep, #1)",Everything We Keep,Kerry Lonsdale,2016.0,3.84
2332,,"The Mighty Storm (The Storm, #1)",The Mighty Storm,Samantha Towle,2012.0,4.19
2347,,Yellow Crocus,,Laila Ibrahim,2010.0,4.24
2363,,"The Vincent Boys (The Vincent Boys, #1)","The Vincent Brothers (The Vincent Boys, #1)",Abbi Glines,2011.0,3.98
2394,,"Never Never (Never Never, #1)",Never Never,"Colleen Hoover, Tarryn Fisher",2015.0,4.12
2403,,"Seraphina (Seraphina, #1)",Seraphina,Rachel Hartman,2012.0,3.98
2411,,"The Wind Through the Keyhole (The Dark Tower, #4.5)",The Wind Through the Keyhole,"Stephen King, Jae Lee",2012.0,4.14
2436,,"This Girl (Slammed, #3)",This Girl,Colleen Hoover,2013.0,4.18
2442,,"Collide (Collide, #1)",Collide,Gail McHugh,2013.0,4.24
2449,,The Sea of Tranquility,The Sea of Tranquility,Katja Millay,2012.0,4.34
2501,,"Notorious Nineteen (Stephanie Plum, #19)",Notorious Nineteen,Janet Evanovich,2012.0,3.9
2508,,"The Atlantis Gene (The Origin Mystery, #1)",The Atlantis Gene,A.G. Riddle,2013.0,3.69
2516,,The Spy Who Came In from the Cold,The Spy Who Came In from the Cold,John le Carré,1963.0,4.05
2553,,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Monstrous Regiment,Terry Pratchett,2003.0,4.18
2561,,"The Perfect Game (The Perfect Game, #1)",The Perfect Game,J. Sterling,2012.0,3.97
2600,,The Red Pony,The Red Pony,John Steinbeck,1933.0,3.42
2604,,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)","Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",Laurell K. Hamilton,2000.0,4.08
2612,,We Should All Be Feminists,We Should All Be Feminists,Chimamanda Ngozi Adichie,2014.0,4.47
2623,,Prelude to Foundation,Prelude to Foundation,Isaac Asimov,1988.0,4.05
2658,,"Captive in the Dark (The Dark Duet, #1)",Captive in the Dark,C.J. Roberts,2011.0,4.01
2664,,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)","Twisted Perfection (Perfection, #1)",Abbi Glines,2013.0,4.26
2689,,"The Short Drop (Gibson Vaughn, #1)",,Matthew FitzSimmons,2015.0,4.15
2691,,"Beautiful Oblivion (The Maddox Brothers, #1)",Beautiful Oblivion,Jamie McGuire,2014.0,4.13
2698,,"Flat-Out Love (Flat-Out Love, #1)",Flat-Out Love ,Jessica Park,2011.0,4.01
2716,,Wreckage,,Emily Bleeker,2015.0,3.66
2742,,Nimona,Nimona,Noelle Stevenson,2015.0,4.2
2746,,Oranges Are Not the Only Fruit,Oranges Are Not the Only Fruit,Jeanette Winterson,1985.0,3.75
2747,,"Grounded (Up in the Air, #3)",Grounded (Up In The Air #3),R.K. Lilley,2013.0,4.29
2770,,When I Found You,When I Found You,Catherine Ryan Hyde,2009.0,3.92
2775,,"While It Lasts (Sea Breeze, #3)",While It Lasts,Abbi Glines,2012.0,4.24
2778,,"All In (The Blackstone Affair, #2)",All in,Raine Miller,2012.0,4.11
2784,,"Witch & Wizard (Witch & Wizard, #1)",Witch & Wizard,"James Patterson, Gabrielle Charbonnet",2009.0,3.57
2794,,Archer's Voice,Archer's Voice,Mia Sheridan,2014.0,4.45
2838,,War Brides,War Brides,Helen Bryan,2007.0,3.75
2867,,"Existence (Existence Trilogy, #1)",,Abbi Glines,2004.0,3.95
2940,,"The Kiss of Deception (The Remnant Chronicles, #1)",The Kiss of Deception,Mary E. Pearson,2014.0,4.06
3003,,"Crash (Crash, #1)",Crash,Nicole  Williams,2012.0,4.02
3011,,Maude,,Donna Mabry,2014.0,4.05
3039,,"Because of Low (Sea Breeze, #2)",Because of Low,Abbi Glines,2012.0,4.14
3080,,"Love Unrehearsed (Love, #2)",Love Unrehearsed,Tina Reber,2012.0,4.26
3129,,Trail of Broken Wings,Trail of Broken Wings,Sejal Badani,2015.0,3.94
3144,,"Falling into You (Falling, #1)",Falling Into You,Jasinda Wilder,2013.0,4.04
3146,,"The Rithmatist (The Rithmatist, #1)",The Rithmatist ,Brandon Sanderson,2013.0,4.25
3149,,"Mystery Man (Dream Man, #1)","Mystery Man (Dream Man, #1)",Kristen Ashley,2011.0,4.25
3198,,"Seduced in the Dark (The Dark Duet, #2)",,C.J. Roberts,2012.0,4.32
3200,,The Warlord Wants Forever (Immortals After Dark #1),The Warlord Wants Forever,Kresley Cole,2006.0,4.09
3223,,لا تحزن,لا تحزن,عائض القرني,2003.0,4.15
3240,,"Crooked Kingdom (Six of Crows, #2)",Crooked Kingdom,Leigh Bardugo,2016.0,4.62
3250,,حوار مع صديقي الملحد,,مصطفى محمود,1974.0,3.95
3259,,"UnEnchanted (An Unfortunate Fairy Tale, #1)",UnEnchanted,Chanda Hahn,2011.0,3.89
3260,,"The Bedwetter: Stories of Courage, Redemption, and Pee","The Bedwetter: Stories of Courage, Redemption and Pee",Sarah Silverman,2010.0,3.52
3265,,NARUTO -ナルト- 巻ノ四十三,NARUTO -ナルト- 巻ノ四十三 ,Masashi Kishimoto,2008.0,4.57
3271,,com نسيان,نسيان كوم,"أحلام مستغانمي, Ahlam Mosteghanemi",2009.0,3.73
3287,,في قلبي أنثى عبرية,في قلبي أنثى عبرية,خولة حمدي,2012.0,4.04
3340,,"The Bands of Mourning (Mistborn, #6)",The Bands of Mourning,Brandon Sanderson,2016.0,4.45
3370,,"The Last Town (Wayward Pines, #3)",The Last Town,Blake Crouch,2014.0,4.09
3382,,Aleph,Aleph,Paulo Coelho,2010.0,3.37
3383,,"Perfection (Neighbor from Hell, #2)",Perfection,R.L. Mathewson,2011.0,4.16
3404,,"Driven (Driven, #1)",Driven,K. Bromberg,2013.0,4.31
3421,,"Come Away with Me (With Me in Seattle, #1)",Come Away with Me,Kristen Proby,2012.0,3.94
3425,,"Taking Chances (Taking Chances, #1)",,Molly McAdams,2012.0,3.87
3433,,"Clash (Crash, #2)",Clash,Nicole  Williams,2012.0,4.17
3437,,فلتغفري,فلتغفرى,أثير عبدالله النشمي,2013.0,3.5
3533,,"The Broken Eye (Lightbringer, #3)",The Broken Eye,Brent Weeks,2014.0,4.46
3535,,"Lady Knight (Protector of the Small, #4)",Lady Knight ,Tamora Pierce,2002.0,4.3
3537,,ڤيرتيجو,ڤيرتيجو,أحمد مراد,2007.0,3.72
3553,,"Fueled (Driven, #2)",Fueled,K. Bromberg,2013.0,4.51
3568,,Nothing Lasts Forever,Nothing Lasts Forever,Sidney Sheldon,1994.0,3.82
3575,,"Out of Breath (Breathing, #3)","Out of Breath (Breathing, #3)",Rebecca Donovan,2013.0,4.32
3576,,"The Vampire's Assistant (Cirque Du Freak, #2)","The Vampire's Assistant (Cirque du Freak, #2) ",Darren Shan,2000.0,4.12
3588,,"The Vincent Brothers (The Vincent Boys, #2)",The Vincent Brothers,Abbi Glines,2012.0,4.13
3632,,"Pulse (Collide, #2)",Pulse,Gail McHugh,2013.0,4.29
3646,,"Panserhjerte (Harry Hole, #8)","Panserhjerte (Harry Hole, #8)",Jo Nesbø,2009.0,4.08
3648,,"Rock Me (Ross Siblings, #2)",,Cherrie Lynn,2010.0,4.09
3662,,"Squire (Protector of the Small, #3)",Squire,Tamora Pierce,2001.0,4.27
3665,,"Just for Now (Sea Breeze, #4)",Just for Now,Abbi Glines,2012.0,4.25
3676,,"The Gray Wolf Throne (Seven Realms, #3)",The Gray Wolf Throne,Cinda Williams Chima,2011.0,4.39
3689,,"Second Son (Jack Reacher, #15.5)",Second Son,Lee Child,2011.0,3.95
3690,,Take Me with You,,Catherine Ryan Hyde,2014.0,4.12
3705,,"The Opportunist (Love Me with Lies, #1)",The Opportunist,Tarryn Fisher,2011.0,4.22
3731,,"Beautiful Player (Beautiful Bastard, #3)",Beautiful Player,Christina Lauren,2013.0,4.38
3747,,"Seduction and Snacks (Chocolate Lovers, #1)","Seduction and Snacks (Chocolate Lovers, #1)",Tara Sivec,2012.0,4.14
3751,,"Poirot Investiga (Hércules Poirot, #3)",Poirot Investigates,Agatha Christie,1924.0,4.07
3774,,"A Game of Thrones / A Clash of Kings (A Song of Ice and Fire, #1-2)",A Clash of Kings,George R.R. Martin,1996.0,4.53
3815,,"End of Days (Penryn & the End of Days, #3)",End of Days,Susan Ee,2015.0,4.1
3844,,Guilty Wives,Guilty Wives,"James Patterson, David Ellis",2012.0,3.82
3847,,"Tales from a Not-So-Talented Pop Star (Dork Diaries, #3)",Tales From a Not-So-Talented Pop Star,Rachel Renée Russell,2011.0,4.31
3854,,"Paper Princess (The Royals, #1)",Paper Princess,"Erin Watt, Elle Kennedy, Jen Frederick",2016.0,4.08
3878,,"Just One Year (Just One Day, #2)",Just One Year,Gayle Forman,2013.0,3.9
3926,,"The King (Black Dagger Brotherhood, #12)",The King,J.R. Ward,2014.0,4.37
3971,,"Experiencing God: Knowing and Doing the Will of God, Workbook",Experiencing God : Knowing and Doing His Will - Workbook,"Henry T. Blackaby, Claude V. King, Richard Blackaby",1976.0,4.32
3975,,The Whistler,The Whistler,John Grisham,2016.0,3.87
3986,,The Things We Wish Were True,,Marybeth Mayhew Whalen,2016.0,3.83
3993,,The Basketball Diaries,The Basketball Diaries 1963-1966,Jim Carroll,1978.0,3.98
3994,,"Sin City, Vol. 4: That Yellow Bastard (Sin City, #4)",Sin City: That Yellow Bastard,Frank Miller,1996.0,4.22
4007,,"Undeniable (Undeniable, #1)",Undeniable,Madeline Sheehan,2012.0,4.08
4010,,"The Girl In The Ice (Detective Erika Foster, #1)",The Girl In The Ice,Robert Bryndza,2016.0,3.95
4033,,Time Enough for Love,Time Enough for Love,Robert A. Heinlein,1973.0,3.96
4036,,"An Invisible Thread: The True Story of an 11-Year-Old Panhandler, a Busy Sales Executive, and an Unlikely Meeting with Destiny","An Invisible Thread: The True Story of an 11-Year-Old Panhandler, a Busy Sales Executive, and an Unlikely Meeting with Destiny","Laura Schroff, Alex Tresniowski, Valerie Salembier",2010.0,4.0
4067,,"Daddy-Long-Legs (Daddy-Long-Legs, #1)",Daddy-Long-Legs       ,Jean Webster,1912.0,4.09
4076,,"The Gamble (Colorado Mountain, #1)",The Gamble,Kristen Ashley,2011.0,4.29
4085,,"Crazy Little Thing (Bell Harbor, #1)",Crazy Little Thing,Tracy Brogan,2012.0,3.8
4097,,The Next Best Thing,The Next Best Thing,Jennifer Weiner,2012.0,3.46
4108,,Making Faces,Making Faces,Amy Harmon,2013.0,4.36
4122,,When I'm Gone,When I'm Gone,"Emily Bleeker, Dan John Miller",2016.0,3.94
4131,,"Tunnels of Blood (Cirque Du Freak, #3)","Tunnels of Blood (Cirque du Freak, #3) ",Darren Shan,2000.0,4.14
4143,,Follow You Home,Follow You Home,Mark  Edwards,2015.0,3.86
4160,,"James Potter and the Hall of Elders' Crossing (James Potter, #1)",James Potter and the Hall of Elders' Crossing ,G. Norman Lippert,2007.0,3.78
4175,,All the Missing Girls,All the Missing Girls,Megan Miranda,2016.0,3.79
4184,,"Fallen Crest High (Fallen Crest High, #1)",Fallen Crest High,Tijan,2012.0,4.13
4193,,"Page (Protector of the Small, #2)",Page ,Tamora Pierce,2000.0,4.22
4197,,"Fight with Me (With Me in Seattle, #2)",,Kristen Proby,2012.0,4.25
4207,,"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy (The Penderwicks #1)","The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy",Jeanne Birdsall,2005.0,4.12
4223,,"Motorcycle Man (Dream Man, #4)",Motorcycle Man,Kristen Ashley,2012.0,4.43
4231,,The Club Dumas,El club Dumas,"Arturo Pérez-Reverte, Sonia Soto",1993.0,3.82
4234,,1919,1919,أحمد مراد,2014.0,3.65
4240,,"Reaper's Property (Reapers MC, #1)",Reaper's Property,Joanna Wylde,2013.0,4.13
4254,,"A Torch Against the Night (An Ember in the Ashes, #2)",A Torch Against the Night,Sabaa Tahir,2016.0,4.34
4263,,ذاكرة الجسد,ذاكرة الجسد,"أحلام مستغانمي, Ahlam Mosteghanemi",1993.0,3.87
4299,,The Ladies' Room,,Carolyn Brown,2011.0,3.9
4311,,"Eyes Wide Open (The Blackstone Affair, #3)",Eyes wide open,Raine Miller,2013.0,4.14
4361,,Summerland,Summerland,Elin Hilderbrand,2012.0,3.85
4364,,"Knight (Unfinished Hero, #1)",Knight,Kristen Ashley,2012.0,3.94
4372,,"Crashed (Driven, #3)",Crashed,K. Bromberg,2014.0,4.56
4376,,"12th of Never (Women's Murder Club, #12)",12th of Never,"James Patterson, Maxine Paetro",2013.0,3.99
4408,,"Predestined (Existence Trilogy, #2)",Predestined,Abbi Glines,2012.0,4.09
4441,,"Ruin (Ruin, #1)",Ruin,Rachel Van Dyken,2013.0,4.19
4447,,"Charade (Games, #1)",Charade,Nyrae Dawn,2012.0,3.98
4449,,"If You Stay (Beautifully Broken, #1)",If You Stay,Courtney Cole,2013.0,3.94
4460,,"Nemesis Games (The Expanse, #5)",Nemesis Games,James S.A. Corey,2015.0,4.37
4465,,"Mine (Real, #2)",Mine,Katy Evans,2013.0,4.29
4531,,"The White Princess (The Plantagenet and Tudor Novels, #5)",The White Princess,Philippa Gregory,2013.0,3.85
4539,,14,14,Peter Clines,2012.0,3.92
4563,,"Checkmate (Neighbor from Hell, #3)","Checkmate (A Neighbor from Hell, #3)",R.L. Mathewson,2012.0,4.15
4568,,"Hardwired (Hacker, #1)",Hardwired,Meredith Wild,2013.0,4.07
4590,,أنت لي,أنت لي,منى المرشود,2007.0,4.03
4600,,"Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person",,Shonda Rhimes,2015.0,4.05
4622,,"Timebound (The Chronos Files, #1)",Time's Twisted Arrow ,Rysa Walker,2012.0,3.87
4624,,"Twenty-Eight and a Half Wishes (Rose Gardner Mystery, #1)",,Denise Grover Swank,2011.0,3.9
4636,,"The Proposal (The Proposition, #2)",The Proposal,Katie Ashley,2013.0,4.04
4640,,Fantastic Beasts and Where to Find Them: The Original Screenplay,Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,2016.0,4.41
4647,,"Prince of Wolves (The Grey Wolves, #1)",Prince of Wolves ,Quinn Loftis,2011.0,4.06
4651,,"Devoured (Devoured, #1)",Devoured,Emily Snow,2012.0,3.94
4661,,"Simple Perfection (Rosemary Beach, #6; Perfection, #2)","Simple Perfection (Perfection, #2)",Abbi Glines,2013.0,4.25
4672,,"The Scarecrow (Jack McEvoy, #2)",The Scarecrow ,Michael Connelly,2009.0,4.03
4675,,1/4 جرام,1/4 جرام,Essam Youssef,2008.0,4.02
4707,,BookRags Summary:  A Storm of Swords,,BookRags,,4.59
4735,,The Dead Key,,D.M. Pulley,2015.0,3.79
4740,,"Leave Me Breathless (Ross Siblings, #3)",,Cherrie Lynn,2012.0,4.26
4741,,"Play (Stage Dive, #2)",Play,Kylie Scott,2014.0,4.33
4751,,Stuck-Up Suit,Stuck-Up Suit,"Vi Keeland, Penelope Ward",2016.0,4.14
4759,,رحلتي من الشك إلى الإيمان,رحلتي من الشك إلى الإيمان,مصطفى محمود,1970.0,4.03
4763,,"Beauty from Surrender (Beauty, #2)",Beauty from Surrender,Georgia Cates,2013.0,4.13
4777,,The Holy Bible: English Standard Version,Holy Bible English Standard Version,Anonymous,2001.0,4.66
4786,,Life and Other Near-Death Experiences,,Camille Pagán,2015.0,3.82
4803,,"The Air He Breathes (Elements, #1)",The Air He Breathes,Brittainy C. Cherry,2015.0,4.2
4825,,The Call of Cthulhu,The Call of Cthulhu,H.P. Lovecraft,1928.0,4.05
4828,,The One That Got Away,The One That Got Away,Simon Wood,2015.0,3.77
4833,,How to Build a Girl,How to Build a Girl,Caitlin Moran,2014.0,3.69
4848,,"Father Mine (Black Dagger Brotherhood, #6.5)",,J.R. Ward,2008.0,4.51
4850,,"Electric Daisy, Vol. 1 (Dengeki Daisy, #1)",電撃デイジー 1,Kyousuke Motomi,2007.0,4.3
4852,,The Einstein Prophecy,,Robert Masello,2015.0,3.58
4865,,White Nights,Белые ночи,Fyodor Dostoyevsky,1848.0,4.05
4877,,"A Shade of Blood (A Shade of Vampire, #2)",,Bella Forrest,,4.01
4895,,"Never Never: Part Three (Never Never, #3)",,"Colleen Hoover, Tarryn Fisher",2016.0,3.48
4902,,"The Atlantis Plague (The Origin Mystery, #2)",The Atlantis Plague,A.G. Riddle,2013.0,3.88
4917,,"The Score (Off-Campus, #3)",The Score,Elle Kennedy,2016.0,4.27
4928,,"White Hot Kiss (The Dark Elements, #1)",White Hot Kiss,Jennifer L. Armentrout,2014.0,4.28
4934,,28 حرف,28 حرف,أحمد حلمي,2012.0,3.1
4968,,Min kamp 1 (Min kamp #1),Min kamp 1,Karl Ove Knausgård,2009.0,4.08
4979,,فوضى الحواس,فوضى الحواس,"أحلام مستغانمي, Ahlam Mosteghanemi",1997.0,3.83
5020,,"Own the Wind (Chaos, #1)",Own the Wind,Kristen Ashley,2013.0,4.22
5062,,"Up to Me (The Bad Boys, #2)",Up to Me,M. Leighton,2013.0,4.12
5063,,"Waking Up Married (Waking Up, #1)",Waking Up Married,Mira Lyn Kelly,2012.0,3.53
5110,,Bossman,,Vi Keeland,2016.0,4.25
5136,,"Sweet Dreams (Colorado Mountain, #2)",Sweet Dreams,Kristen Ashley,2011.0,4.42
5169,,"Play with Me (With Me in Seattle, #3)",Play With Me,Kristen Proby,2013.0,4.33
5171,,"Second Chance Boyfriend (One Week Girlfriend, #2)",Second Chance Boyfriend,Monica  Murphy,2013.0,4.06
5177,,"The Hook Up (Game On, #1)",The Hook Up,Kristen Callihan,2014.0,4.04
5184,,"Sand Omnibus (Sand, #1-5)",Sand Omnibus,Hugh Howey,2014.0,3.96
5189,,"Ceaseless (Existence Trilogy, #3)",Ceaseless,Abbi Glines,2012.0,4.2
5218,,Two By Two,Two By Two,Nicholas Sparks,2016.0,3.9
5245,,"Raw (RAW Family, #1)",Raw,Belle Aurora,2014.0,4.23
5249,,"That Boy (That Boy, #1)",That Boy,Jillian Dodd,2011.0,3.96
5265,,"Beautiful Bitch (Beautiful Bastard, #1.5)",Beautiful Bitch,Christina Lauren,2013.0,3.94
5271,,"Until November (Until, #1)",Until November,Aurora Rose Reynolds,2013.0,4.16
5278,,My Heart and Other Black Holes,My Heart and Other Black Holes,Jasmine Warga,2015.0,4.02
5295,,The Chemist,The Chemist,Stephenie Meyer,2016.0,3.69
5343,,"A Game of Thrones: Comic Book, Issue 1",A Song of Ice and Fire Graphic Novels,"Daniel Abraham, George R.R. Martin, Tommy Patterson",2011.0,4.65
5372,,بيكاسو وستاربكس,بيكاسو وستاربكس,ياسر حارب,2011.0,3.55
5378,,Sleep Tight,Sleep tight,Rachel Abbott,2014.0,3.98
5392,,"The Initiate (Divergent, #0.2)",Four: The Initiate,Veronica Roth,2014.0,4.2
5404,,Percy Jackson's Greek Gods (A Percy Jackson and the Olympians Guide),Percy Jackson's Greek Gods,"Rick Riordan, John Rocco",2014.0,4.51
5440,,House,House,"Frank E. Peretti, Ted Dekker",2006.0,3.6
5449,,"Until You (Fall Away, #1.5)",Until You,"Penelope Douglas, Nelson Hobbs",2013.0,4.36
5450,,Perahu Kertas,Perahu Kertas,Dee Lestari,2004.0,3.94
5456,,"Be with Me (Wait for You, #2)",Be with Me,"J. Lynn, Jennifer L. Armentrout",2014.0,4.15
5465,,"Take a Chance (Rosemary Beach, #7; Chance, #1)","Take a Chance (Chance, #1)",Abbi Glines,2014.0,4.15
